regiao,ano,valor
Brasil,2005,20.9
Brasil,2008,34.7
Brasil,2009,41.6
Brasil,2011,46.5
Norte,2005,11.7
Norte,2008,26.4
Norte,2009,33.1
Norte,2011,35.4
Nordeste,2005,11.9
Nordeste,2008,24.9
Nordeste,2009,30
Nordeste,2011,34
Sudeste,2005,26.2
Sudeste,2008,40.3
Sudeste,2009,48.1
Sudeste,2011,54.2
Sul,2005,25.5
Sul,2008,38.6
Sul,2009,45.9
Sul,2011,50.1
Centro-Oeste,2005,23.4
Centro-Oeste,2008,39.4
Centro-Oeste,2009,47.2
Centro-Oeste,2011,53.1
