tipo,ano,valor
População,2005,0
População,2008,8264
População,2009,10496
População,2011,14737
Internet,2005,0
Internet,2008,23887
Internet,2009,35867
Internet,2011,45816
Celular,2005,0
Celular,2008,30484
Celular,2009,38051
Celular,2011,59730
